iter	TotalF1	MultiClass
0	0.6663942122	0.6613442892
1	0.6651004147	0.6356185482
2	0.6621621777	0.6178982997
3	0.6621621777	0.5980744692
4	0.6752217406	0.5814029559
5	0.6752217406	0.5678671008
6	0.6752217406	0.5572081027
7	0.6683964214	0.5464988733
8	0.6813687091	0.5362600707
9	0.6940301035	0.5270484693
10	0.7012827752	0.5190909977
11	0.7056417773	0.5122424529
12	0.7078185985	0.5051058855
13	0.712277319	0.4993722043
14	0.7153913882	0.4929767231
15	0.7166446101	0.4885164746
16	0.7195930594	0.4839775431
17	0.7248301745	0.4773712216
18	0.7298263136	0.4730982586
19	0.731783386	0.466193279
20	0.7364859531	0.4617209727
21	0.7408668905	0.4569327033
22	0.7428031744	0.453709365
23	0.7494685618	0.449242207
24	0.7517863832	0.4471497174
25	0.7522584264	0.4443701011
26	0.7570871489	0.440371798
27	0.7607256226	0.4374074017
28	0.7602243674	0.4348986592
29	0.7629912396	0.431969304
30	0.7660591027	0.4292793343
31	0.7705199668	0.4255725679
32	0.7736844361	0.4221889495
33	0.7761127832	0.4205678375
34	0.7791953367	0.4188463209
35	0.7829023608	0.4165444079
36	0.7840883446	0.4152330478
37	0.7847598419	0.4141289556
38	0.7901818563	0.412507263
39	0.7933113916	0.4104957697
40	0.7960952005	0.4092572221
41	0.7973901317	0.4081863797
42	0.7980764456	0.4074017718
43	0.799506142	0.4065883827
44	0.7995579267	0.4046782364
45	0.7989169699	0.4037291772
46	0.8000602878	0.402804957
47	0.8017925441	0.4014573003
48	0.8023307769	0.4001842027
49	0.8033303684	0.3996972827
50	0.8046459184	0.3980848944
51	0.8042784499	0.3966169603
52	0.8042784499	0.3954197621
53	0.8047253314	0.3952110896
54	0.8062969549	0.3938139533
55	0.8070522103	0.3931416069
56	0.8081741974	0.3918025145
57	0.8092352555	0.3911390217
58	0.8096108799	0.3904352463
59	0.8097961721	0.3892344767
60	0.8115287892	0.3886366981
61	0.8124540955	0.3871416461
62	0.8129482876	0.38644076
63	0.8141112746	0.3856933286
64	0.8143645564	0.3843098704
65	0.814536954	0.3834363702
66	0.8146559371	0.3826301728
67	0.8144011877	0.3821014346
68	0.8162269876	0.3814427041
69	0.8165304374	0.3813599226
70	0.816414167	0.3803562182
71	0.8171366126	0.3794990375
72	0.8186478491	0.3789356681
73	0.8187615008	0.3779069911
74	0.8183859487	0.3769398154
75	0.8199649188	0.3761503468
76	0.8207535934	0.3755080306
77	0.8214306047	0.3746105235
78	0.8220618561	0.3741804291
79	0.8211972831	0.372592466
80	0.8203769027	0.3716612814
81	0.8205652135	0.3712668629
82	0.8204110819	0.3700604034
83	0.8215743544	0.3691392249
84	0.8231460866	0.3680096659
85	0.8226588857	0.3673145759
86	0.8237418919	0.3662905305
87	0.8247156936	0.365664835
88	0.8240394494	0.364742553
89	0.8248233793	0.3643567397
90	0.825309981	0.3626840295
91	0.8242550808	0.3621743543
92	0.8260098115	0.3616097062
93	0.8258199934	0.3613721954
94	0.8268124247	0.3607959401
95	0.8284582839	0.359522981
96	0.8297231403	0.3589133583
97	0.8302082595	0.3582431447
98	0.8305905119	0.356946253
99	0.831968649	0.3563666537
100	0.8321601903	0.3556357822
101	0.833713557	0.3544933746
102	0.834973423	0.3539739994
103	0.8367189171	0.3523845152
104	0.8380703159	0.3515951238
105	0.8391292204	0.351172334
106	0.8393226321	0.3508101331
107	0.8395161167	0.3501719069
108	0.8390341831	0.3498847638
109	0.8397995455	0.3489157604
110	0.8410488956	0.3484759204
111	0.8410488956	0.3475938509
112	0.842093442	0.3467610338
113	0.8414196057	0.345773143
114	0.8425734011	0.3448980193
115	0.8438051758	0.3439872402
116	0.844568735	0.3434026513
117	0.8439093154	0.3428483303
118	0.8465731259	0.3415307907
119	0.8465022847	0.3407958554
