iter	Passed	Remaining
0	41	40990
1	92	46184
2	104	34591
3	205	51193
4	289	57527
5	416	68936
6	439	62282
7	516	63986
8	608	67014
9	686	67952
10	800	72016
11	922	75938
12	1011	76788
13	1102	77630
14	1182	77674
15	1275	78466
16	1373	79416
17	1459	79615
18	1548	79939
19	1655	81134
20	1739	81102
21	1830	81393
22	1921	81605
23	2014	81942
24	2105	82116
25	2198	82375
26	2289	82522
27	2403	83434
28	2499	83678
29	2584	83550
30	2669	83452
31	2753	83279
32	2840	83235
33	2935	83391
34	3025	83428
35	3135	83972
36	3218	83758
37	3300	83547
38	3390	83541
39	3494	83872
40	3596	84130
41	3688	84123
42	3797	84506
43	3948	85786
44	4043	85808
45	4137	85803
46	4228	85729
47	4317	85632
48	4408	85568
49	4502	85552
50	4630	86155
51	4715	85973
52	4803	85826
53	4883	85560
54	4978	85546
55	5067	85420
56	5147	85162
57	5236	85048
58	5336	85116
59	5421	84933
60	5519	84961
61	5613	84930
62	5703	84831
63	5792	84721
64	5884	84641
65	5986	84719
66	6096	84897
67	6185	84780
68	6272	84638
69	6301	83725
70	6377	83443
71	6469	83382
72	6554	83233
73	6647	83184
74	6741	83146
75	6829	83031
76	6916	82904
77	7017	82953
78	7105	82835
79	7197	82776
80	7286	82673
81	7375	82568
82	7485	82706
83	7574	82601
84	7667	82535
85	7755	82429
86	7848	82360
87	7938	82269
88	8044	82341
89	8135	82255
90	8241	82320
91	8323	82146
92	8409	82017
93	8499	81924
94	8583	81770
95	8683	81770
96	8777	81713
97	8872	81666
98	8973	81665
99	9068	81615
100	9211	81991
101	9306	81930
102	9406	81915
103	9517	81999
104	9612	81931
105	9718	81962
106	9803	81816
107	9887	81662
108	9971	81508
109	10061	81405
110	10173	81478
111	10289	81580
112	10394	81589
113	10523	81788
114	10627	81782
115	10722	81710
116	10805	81546
117	10895	81437
118	10985	81328
119	11080	81256
120	11195	81331
121	11301	81331
122	11395	81252
123	11498	81230
124	11601	81208
125	11784	81745
126	11906	81844
127	12057	82142
128	12172	82185
129	12279	82181
130	12384	82151
131	12472	82017
132	12561	81884
133	12671	81894
134	12774	81853
135	12895	81921
136	12988	81816
137	13082	81717
138	13192	81718
139	13278	81569
140	13380	81518
141	13469	81388
142	13554	81231
143	13642	81097
144	13725	80931
145	13818	80828
146	13918	80762
147	14002	80609
148	14099	80530
149	14202	80481
150	14312	80473
151	14414	80416
152	14502	80282
153	14600	80205
